# שם(|שמות נוספים)	מי זה
משה דיין	רמטכ"ל ושר ביטחון, מוכר עם הרטייה על העין
זאב ז'בוטינסקי|ז'בוטינסקי	מנהיג התנועה הרוויזיוניסטית, סופר ומשורר
אליעזר בן יהודה	מחייה השפה העברית, חיבר את המילון הגדול
חנה סנש	משוררת וצנחנית, שנשלחה לאירופה במלחמת העולם השנייה ונרצחה
יוני נתניהו	מפקד סיירת מטכ"ל שנפל במבצע אנטבה
אילן רמון	האסטרונאוט הישראלי הראשון
נעמי שמר	משוררת ומלחינה, כתבה את ירושלים של זהב
ש"י עגנון|עגנון	סופר, זוכה פרס נובל לספרות
חיים נחמן ביאליק|ביאליק	המשורר הלאומי
רחל המשוררת	משוררת עברית, כתבה על הכנרת
אלברט איינשטיין|איינשטיין	פיזיקאי, שניסח את תורת היחסות
אייזק ניוטון|ניוטון	מדען שניסח את חוקי התנועה והכבידה
גלילאו גליליי|גלילאו	מדען ואסטרונום איטלקי, שחקר את השמיים בטלסקופ
צ'רלס דרווין|דרווין	חוקר טבע, שניסח את תורת האבולוציה
מארי קירי	מדענית שחקרה קרינה, זכתה פעמיים בפרס נובל
תומאס אדיסון|אדיסון	ממציא אמריקאי, שכלל את הנורה החשמלית
ניקולה טסלה|טסלה	ממציא ומהנדס חשמל
לאונרדו דה וינצ'י|דה וינצ'י	צייר, ממציא ומדען מתקופת הרנסאנס, צייר את המונה ליזה
מיכלאנג'לו	צייר ופסל מתקופת הרנסאנס
וינסנט ואן גוך|ואן גוך	צייר הולנדי, צייר את ליל כוכבים
פבלו פיקאסו|פיקאסו	צייר ספרדי, ממייסדי הקוביזם
בטהובן	מלחין גרמני, כתב את הסימפוניה התשיעית
מוצרט	מלחין אוסטרי מחונן, התחיל להלחין בגיל חמש
באך	מלחין גרמני מתקופת הבארוק
ויליאם שייקספיר|שייקספיר	מחזאי ומשורר אנגלי, כתב את המלט ורומיאו ויוליה
כריסטופר קולומבוס|קולומבוס	ספן שהגיע לאמריקה ב-1492
ג'ורג' וושינגטון	הנשיא הראשון של ארצות הברית
אברהם לינקולן|לינקולן	נשיא ארצות הברית, שביטל את העבדות
וינסטון צ'רצ'יל|צ'רצ'יל	ראש ממשלת בריטניה במלחמת העולם השנייה
נפוליאון	קיסר צרפת
אלכסנדר מוקדון	מלך מקדוניה, שכבש אימפריה עצומה
יוליוס קיסר	מנהיג רומאי
מרטין לותר קינג	מנהיג המאבק לזכויות האזרח בארצות הברית
נלסון מנדלה|מנדלה	נשיא דרום אפריקה, שנאבק באפרטהייד
מהטמה גנדי|גנדי	מנהיג העצמאות של הודו, שדגל במאבק בלי אלימות
ניל ארמסטרונג	האדם הראשון שדרך על הירח
יורי גגרין	האדם הראשון בחלל
סטיב ג'ובס	ממייסדי חברת אפל
ביל גייטס	ממייסדי חברת מיקרוסופט
אלן טיורינג|טיורינג	מתמטיקאי, מאבות מדעי המחשב
פיתגורס	מתמטיקאי ופילוסוף יווני
ארכימדס	מתמטיקאי וממציא יווני, שאמר אאוריקה
אריסטו	פילוסוף יווני, תלמידו של אפלטון
סוקרטס	פילוסוף יווני
אפלטון	פילוסוף יווני, תלמידו של סוקרטס
