# מדינה(|שמות נוספים)	בירה(|שמות נוספים)	יבשת
וייטנאם	האנוי	אסיה
תאילנד	בנגקוק	אסיה
קמבודיה	פנום פן	אסיה
לאוס	ויינטיאן	אסיה
מיאנמר|בורמה	נאיפידו	אסיה
מלזיה	קואלה לומפור	אסיה
סינגפור	סינגפור	אסיה
אינדונזיה	ג'קרטה	אסיה
הפיליפינים	מנילה	אסיה
ברוניי	בנדר סרי בגאוואן	אסיה
מזרח טימור	דילי	אסיה
קזחסטן	אסטנה	אסיה
אוזבקיסטן	טשקנט	אסיה
טורקמניסטן	אשגבאט	אסיה
קירגיזסטן	בישקק	אסיה
טג'יקיסטן	דושנבה	אסיה
מרוקו	רבאט	אפריקה
אלג'יריה	אלג'יר	אפריקה
תוניסיה	תוניס	אפריקה
לוב	טריפולי	אפריקה
סודן	חרטום	אפריקה
דרום סודן	ג'ובה	אפריקה
אתיופיה	אדיס אבבה	אפריקה
אריתריאה	אסמרה	אפריקה
ג'יבוטי	ג'יבוטי	אפריקה
סומליה	מוגדישו	אפריקה
קניה	ניירובי	אפריקה
אוגנדה	קמפלה	אפריקה
טנזניה	דודומה	אפריקה
רואנדה	קיגאלי	אפריקה
בורונדי	גיטגה	אפריקה
הרפובליקה הדמוקרטית של קונגו|קונגו קינשאסה	קינשאסה	אפריקה
הרפובליקה של קונגו|קונגו ברזוויל	ברזוויל	אפריקה
גבון	ליברוויל	אפריקה
קמרון	יאונדה	אפריקה
ניגריה	אבוג'ה	אפריקה
ניז'ר	ניאמיי	אפריקה
צ'אד	נג'מנה	אפריקה
מאלי	במקו	אפריקה
בורקינה פאסו	ואגאדוגו	אפריקה
סנגל	דקאר	אפריקה
גמביה	בנג'ול	אפריקה
גינאה	קונקרי	אפריקה
גינאה ביסאו	ביסאו	אפריקה
סיירה לאון	פריטאון	אפריקה
ליבריה	מונרוביה	אפריקה
חוף השנהב	יאמוסוקרו	אפריקה
גאנה	אקרה	אפריקה
טוגו	לומה	אפריקה
בנין	פורטו נובו	אפריקה
מאוריטניה	נואקשוט	אפריקה
הרפובליקה המרכז אפריקאית	בנגי	אפריקה
גינאה המשוונית	מלאבו	אפריקה
אנגולה	לואנדה	אפריקה
זמביה	לוסקה	אפריקה
זימבבואה	הררה	אפריקה
מלאווי	לילונגווה	אפריקה
מוזמביק	מאפוטו	אפריקה
בוטסואנה	גבורונה	אפריקה
נמיביה	וינדהוק	אפריקה
דרום אפריקה	פרטוריה	אפריקה
לסוטו	מאסרו	אפריקה
אסוואטיני|סווזילנד	מבבנה	אפריקה
מדגסקר	אנטננריבו	אפריקה
מאוריציוס	פורט לואי	אפריקה
סיישל	ויקטוריה	אפריקה
קומורו	מורוני	אפריקה
כף ורדה	פראיה	אפריקה
סאו טומה ופרינסיפה	סאו טומה	אפריקה
אוסטרליה	קנברה	אוקיאניה
ניו זילנד	ולינגטון	אוקיאניה
פפואה גינאה החדשה	פורט מורסבי	אוקיאניה
פיג'י	סובה	אוקיאניה
איי שלמה	הוניארה	אוקיאניה
ונואטו	פורט וילה	אוקיאניה
סמואה	אפיה	אוקיאניה
טונגה	נוקואלופה	אוקיאניה
קיריבטי	טאראווה	אוקיאניה
מיקרונזיה	פאליקיר	אוקיאניה
איי מרשל	מג'ורו	אוקיאניה
פלאו	נגרולמוד	אוקיאניה
נאורו	יארן	אוקיאניה
טובאלו	פונאפוטי	אוקיאניה
